RecipeName,TimeToCook,Ingredients,Instructions
Dal Chilla,1hr 30mins,"0 to taste    sunflower oil, for cooking; 0 chutney; 50 split yellow lentils; 120 water; 0 inch    fresh gingerroot, peeled and roughly chopped; 0 green chili pepper; 0 coriander leaves; 0.98 salt; 10 semolina; 0 onion; 0.24 salt; 0 green chili pepper","Soak the lentils in 250ml (9fl oz) of the measured water for about ?1 hour, until they absorb it all. Transfer the lentils to a blender and add the ginger, chilli, and coriander and blend until smooth. Tip the paste into a bowl and stir in the salt, semolina and the remaining 350ml (12fl oz) measured water, mixing well. Combine all the topping ingredients in a bowl. Heat a frying pan and, once it is very hot, pour a serving-spoonful of the batter into the pan and spread it into a 13–15-cm (5–6-inch) circle. Top with 1 tablespoon of the topping mixture and drizzle 1 tablespoon of oil around the edges of the batter. Cook over medium heat for 2–3 minutes, until golden brown on the underside, then turn the chilla over and cook for a further 2 minutes, until golden brown on both sides. Repeat to make 15 more. Serve hot with the chutney ?of your choice. Recipe courtesy of CHAI, CHAAT & CHUTNEY by Chetna Makan. https://www.amazon.com/Chai-Chaat-Chutney-journey-through/dp/1784722871/."
The Best Biryani,1hr 30mins,340.19 chicken; 8.87 canola oil; 0 onions; 1.47 garlic paste; 1.47 ginger paste; 2 diced tomatoes; 8.87 yogurt; 0.73 chili powder; 2 whole cloves; 1 green cardamom pods; 1 black cardamom pods; 2 black peppercorns; 0.73 cumin powder; 1.47 coriander powder; 1.47 garam masala; 1.47 curry powder; 0 cinnamon stick; 2.95 salt; 0 bay leaves; 2 dried plums; 1 fresh green chilies; 4.43 fresh cilantro; 0.03 saffron; 319.39 basmati rice; 532.32 water,"Soak rice for half an hour. Cook in rice cooker with 15 cups of water. Cook rice until almost done. Fry onions in oil until golden brown. Add ginger and garlic. Add chili powder, cloves, cardamom, pepper corn, cumin, curry, graham masala, coriander, cinnamon stick, bay leaves, dried plums, and salt. Add yogurt. Add tomatoes and cook until dry. Add meat. Add green chiles. Cook until meat is done and add water if needed. Add cilantro. Mix saffron with hot water. Layer rice and meat mixture and sprinkle with saffron mixture. Put in oven at 350°F for 20 minutes."
Batata Vada,45mins,"2 potatoes; 0.92 ginger; 0.92 garlic; 0.46 mustard seeds; 0.46 turmeric powder; 5.54 fresh cilantro; 0.46 asafoetida powder; 0 salt; 88.72 besan; 0.92 chili powder; 0.46 turmeric powder; 0.46 ground cumin; 0.46 baking soda; 0 salt; 0 water; 0 to taste    oil, for fying","Boil the potatoes mash them. add the ginger garlic, tumeric powder and cilantro and salt. Heat 3 tsp on oil in a saucepan. add the mustard seeds and wait for them to crackle (burst) then add the asefetida. Pour the oil over the potatoes. and mix it in well till blended. Mix all the ingredients with the water. divide the potato mix into 16 balls. Heat the oil. Dip the potatoes into the batter. The batter should be thick enough to coat the potatoes nicely but not too thick. Place the coated potatoes balls in the hot oil. Fry till done (the coating will be a golden color with a reddish tinge). Enjoy."
Chicken Korma,30mins,22.18 ml    oil; 6 cinnamon sticks; 6-12 cardamom pods; 9-15 cloves; 2 onion; 3 garlic cloves; 3 chicken breast halves; 3.69 salt; 1.84 ground cinnamon; 1.84 ground cardamom; 1.84 ground cloves; 3.69 ml   crushed dried hot pepper; 177.44 tomato sauce; 177.44 water; 177.44 buttermilk; 3.69 ground cumin; 22.18 fresh coriander,"Heat oil over medium-high heat, and add cinnamon, cardamom and cloves. When the aroma is released, reduce heat, and add the onion and garlic, cook until onion is softened. Add chicken and cook for about 5 minutes, then add salt, ground cinnamon, ground cardamom, ground cloves and hot pepper. Mix well so the spices cover the chicken. Add tomato sauce and water, cover and cook for 10 minutes. Add buttermilk, ground cumin and coriander, cover and cook for 5 minutes. Serve with rice or naan bread."
Mango Lassi,2mins,236.59 water; 473.18 yogurt; 2.46 ground cardamom; 29.58 granulated sugar; 0.25 salt; 236.59 mango pulp; 118.29 ml    ice cube,Combine all ingredients in a blender. Process about 1 minute or until smooth.
Homemade Jalebis,45mins,39.43 all-purpose flour; 1.64 gram flour; 19.71 plain yogurt; 19.71 water; 0.04 baking soda; 83 ghee; 83 ml    sugar syrup,"Put flour in a mixing bowl. Add gramflour. Mix well. Add yogurt and water. Mix well, using a spoon, ensuring that no lumps remain. Mix to obtain what is technically called,""ribbon consistency"". (Ribbon consistency simply requires you to mix for about 5-7 minutes, really well, so that when the mixture is dropped from the mixing spoon into the mixing bowl, it should fall like a ribbon. Don't let the term scare you, it's pretty easy, you just got to). Add a pinch of baking soda. At this point, this mixture (batter) can be refrigerated if you are planning on making the jalebis later. If you plan to make the jalebis instantly, put the mixture in a jalebi bottle (you get these bottles to make jalebis in the market). If you dont have a jalebi bottle, you can use an empty well-washed and thoroughly clean, tomato ketchup bottle. If you got an icing bag, use that. I used the icing bag with the""star"" nozzle attachment. You may experiment with the other nozzles, if you wish, but please dont, in any circumstances, try using the""writing"" nozzle attachment, because if you do so, the jalebis that you'll be making will be the thinnest on the face of the planet,lol. Heat oil on low-medium flame in a frying pan. Meanwhile, spoon the above prepared batter in the icing bag fitted with the star nozzle/jalebi bottle/ tomato ketchup bottle. Drop the batter by squeezing the bottle/icing bag, into the hot oil, in concentric circular motion to make the jalebis. Lightly brown on either side. Repeat until all the batter is used up. On low flame heat the pre-prepared sugar-water syrup (known in Hindi as""chashni""). Add few threads of saffron to the syrup- these look really pretty on the jalebis later when you dip the latter into them. Now, drain the excess oil from the jalebis. Drop into the sugar-water syrup. Dip well, toss well, to coat the jalebis in the syrup. Drain excess syrup from the jalebis. Serve immediately or serve hot if you plan to serve them later on, make sure to warm them a bit in the oven (2-3 minutes) and then serve. Get ready to put on your apron and go make more of these because they'll vanish before you know! Don't blame ME if you get addicted to these like my DAD."
Kulfi,12hrs,"148.83 fat-free evaporated milk; 88.72 ml    light cream (I used half and half here); 148.83 low fat  sweetened condensed milk; 0 to taste   other flavoring (I sprinkled in some cinnamon, but I would imagine that chocolate or something else would work here.)","In a large bowl, stir together well the evaporated milk, condensed milk, cream, and optional other flavor. Pour into popsicle molds, Indian stainless steel kulfi molds, or even a small bowl. Freeze overnight. Remove from the molds by resting their bottoms very briefly in warm to hot water (if you do this for too long you'll have a gooey mess!)."
Thandai (Indian Almond Drink),15mins,"562.5 water; 88.72 sugar; 5.54 ml    almonds; 5.54 sunflower seeds; 2.77 poppy seed; 2.77 anise seed; 0.92 ground cardamom; 1.84 rose water; 1.84 peppercorn; 22.18 ml    rose petal, organic  (optional)","Soak sugar in 1/2 litre of the water used. Set aside. Soak remaining ingredients in 2 cups of remaining water. Set aside. Allow all soaked items to stand for at least 2 hours. Grind all soaked ingredients to a very fine paste. (not sugar) in a processor or blender. Place a double layer of cheesecloth or a coffee filter over/in a strainer and set over a large container/pitcher. Press through muslin with the back of a spoon, extracting as much liquid as possible. Add remaining water, a little at a time to extract more of the nut liquid. Pour back some of the extract and press, repress.  Do this a number of times to extract as much flavour out of the nut paste as possible. Mix well. Chill for atleast 2 hours before serving.  You may need to give the drink a stir before pouring. To serve, sprinkle some rose petals over each serving (optional). Note:  Do not discard the nut paste - it is excellent used in making korma-type curries."
Burfi a La Yamuna (Indian Fudge),1hr 30mins,"8.87 butter; 5.91 brown sugar; 8.87 white sugar; 11.82 milk; 41.40 powdered milk; 0 to taste    nuts, chopped  (optional, cashews, pecans or pistachios are best)","Melt the butter over low heat. Stir in sugars. Add the milk and bring to a boil gradually over medium heat. Lower the flame and add the powdered milk slowly, stirring to work out all the lumps. If you're adding nuts, mix them in once the lumps are smoothed out. Cook on medium heat for approximately 4-5 minutes, until nice and thick. Butter a 9x13 inch cake pan and pour mixture into pan, spread evenly. Cover with plastic wrap and place in fridge to set - the girls stick it in the freezer so they don't have to wait so long :). Once set, cut into 1 1/2 inch squares. Keep refrigerated and covered with plastic wrap. One hour of prep time is actual cooling time. Makes approximately 60 small squares."
Mur'mur'ya C'a Chiwda,35mins,"22.18 ml    oil; 1.84 cumin seed; 1 fresh ginger; 5-6 curry leaves; 1-2 whole dried red chilies, broken into small pieces; 0.46 hing; 22.18 raisins; 44.36 unsalted peanuts; 22.18 ml   store bought sev (spicy lentil noodles); 22.18 coconut; 532.32 ml    Rice Krispies (unsweetened rice puffs); 1.84 salt; 11.09 sugar; 11.09 lime juice","Sift and pick through the puffed rice, discard discolored pieces. Dry roast the puffed rice until it is toasty but not colored. Spread over a paper towel to allow moisture to wick away. Let it cool. Heat the oil in a large wok. Add cumin seeds, ginger and curry leaves. Stir vigorously to season the oil well, reduce the heat. Add dried red chilies, asafetida powder and turmeric powder; stir vigorously to avoid burning. Add the raisins and peanuts, allow them to cook. As the peanuts begin to roast, add the salt, sugar and lime juice; turn off the heat. While the oil and spices are still hot, add the cooled toasted puffed rice and sev in small batches. Toss with two flat spatulas with each addition until all the rice is mixed inches Return the wok to a medium-low heat and toss this mixture quickly. Remove from heat. Serve hot or allow to cool and store it in an airtight container for up to four weeks."
Shankarpale,45mins,"147.86 flour; 29.57 ml    oil; 29.57 water; 22.18 sugar; 0 to taste    oil, to deep fry","Put the oil in a thick bottom pan. Add water and sugar. Stir and bring to a boil. Remove from heat immediately. Let it stand until it is lukewarm. Fold in the flour adding a little at a time. Knead well. Heat oil in a deep frying pan. Divide the dough into lemon sized balls and roll out with a rolling pin. You should not be able to see the surface you are rolling it on through the dough. Using a pizza cutter or a sharp knife cut into strips at an angle. Turn the surface 90 degrees and cut diagonally to form diamonds. If you don't cut at an angle you will get squares, diamonds look better. Deep fry in the oil until golden brown. Store in a air tight container."
Restaurant-Style Tandoori Chicken,1hr 10mins,"59.14 plain yogurt; 3.69 lemon juice; 1.23 allspice; 1.23 fresh coarse ground black pepper; 1.23 ground cayenne pepper; 1.23 ground cinnamon; 2.46 ground cumin; 1.23 ground ginger; 2.46 salt; 1.23 ml    smoked paprika; 3.69 garlic; 3.69 ml   thai chili paste with garlic (optional, but recommended!); 3 chicken; 1 onions; 0 lemon","In a small mixing bowl, stir together the yogurt and lemon juice.  Add the spices, minced garlic, and chili paste, and whisk until you have a smooth, thick marinade. Put 6 pieces of the chicken in each of two zip-lock bags, and add 1/2 the marinade to each bag.  Zip closed and knead the bags until the chicken is well-coated with marinade.  Open bags slightly, squeeze out most of the air, and zip closed again.  Refrigerate 12-24 hours.  If serving this for dinner, I usually make the marinade and start the chicken soaking the evening before. Turn the bags and knead the marinating chicken once or twice while it's in the refrigerator. When you are ready to cook, take the chicken out of the refrigerator, line a large roasting pan with foil, lay a rack over the pan so air can circulate under the roasting chicken, and pre-heat your oven to 425.  If you have a convection bake or convection roast cycle, use that. Place the chicken pieces on the rack so they are not touching.  Empty what is left of the marinade into a bowl or measuring cup and touch up any ""empty"" spots on the chicken pieces with the marinade. Once the oven is hot, put the pan with the chicken in the oven, and leave the door closed (no peeking!).  Turn the chicken pieces once after 30 minutes of cooking time, then roast for another 10 to 15 minutes, or until slightly charred on the second side, but no more than 15 minutes for legs and thighs.  If you are cooking breasts, poke one with a skewer to make sure the juices run clear. NOW TURN THE OVEN OFF, and let the chicken rest in the closed oven for 20-30 minutes more (not critical, but NO PEEKING!). Remove the chicken to a warm platter, garnish with the onion rings and a few squeezes of lemon, and enjoy! See if you don't agree this is as good as any ""authentic"" Tandoori chicken you've ever tried!"
Shortcut Crescent Samosa,25mins,2.77 olive oil; 0 onion; 1 garlic cloves; 88.72 potatoes; 44.36 carrot; 22.18 sweet peas; 4.62 soy sauce; 0.92 curry powder; 0.46 cumin; 0.23 dried cilantro; 0.23 ground ginger; 0.23 turmeric; 0.23 salt; 0.04 red pepper flakes; 2.77 water; 2 (85.04  g) package   crescent rolls; 14.77 honey; 2.77 lemon juice; 2.77 soy sauce; 2.77 water; 0 garlic cloves; 0.04 red pepper flakes,Saute onion and garlic in oil 5 minutes until onion is soft. Add all other ingredients except crescent rolls. Stir gently over medium heat for several minutes until well incorporated. Set aside. Heat oven to 375°F. Open cans of crescent rolls and unroll the dough. Separate into 4 rectangles and pinch the triangular perforations to seal. Cut each rectangle in half crosswise to make squares (you'll have 8 squares per can of crescent rolls). You may have to coax the dough gently with your hands to make it square and to close up the perforations. Spoon a heaping spoonful of filling in the center of each square and fold over to make a triangle. Pinch the edges to seal. Bake on cookie sheets sprayed with Pam for 12-15 minutes until golden. Cool slightly on rack. Serve warm with Honey Dipping Sauce. Mix sauce well in small bowl.
Sookhi Bhaji,40mins,4.92 cumin seed; 4.92 brown mustard seeds; 1 onion; 3 serrano chilies; 4 potatoes; 7.39 ground cumin; 7.39 ground coriander; 2.46 turmeric; salt; 2.46 cayenne pepper; 14.79 fresh cilantro,"Heat cumin seeds and mustard seed in hot dry skillet over high heat, swirling pan, until seeds start to pop. Reduce heat to medium; add onions, chilies, and add a small amount of water; cook until onion is tender, adding more water as necessary to prevent sticking. Add potatoes, ground cumin, coriander, turmeric, salt (to taste), and cayenne pepper, stirring to mix well. Add 2/3 cup water, cover, reduce heat and cook for 20-25 minutes, stirring occasionally, until spices are absorbed and potatoes are tender. Add a small amount of water at a time if all liquid evaporates. Fold in cilantro just before serving."
Indian Masala Chai,15mins,6 cloves; 3 cardamom pods; 2 cinnamon stick; 1064.65 water; 1.84 ground ginger; 0.92 fresh ground black pepper; 177.44 milk; 44.37 granulated sugar; 44.37 black tea,"In a mortar, crush the cloves, cardamom pods and cinnamon, or use a coffee grinder. Transfer the crushed spices to a small saucepan, add the water, ginger and pepper and bring to a boil. Remove the pan from the heat, cover and let steep for 5 minutes. Add the milk and sugar to the pan and bring to a boil. Remove from the heat and add the tea. Cover and let steep for 3 minutes. Stir the chai, then strain it into a warmed teapot or directly into teacups. Enjoy!"
Chicken Makhani,40mins,"11.09 ml    peanut oil; 1 shallot; 0 white onion, chopped; 22.18 butter; 7.39 lemon juice; 11.09 ml    ginger-garlic paste; 3.69 garam masala; 3.69 chili powder; 3.69 ground cumin; 1 bay leaf; 44.36 plain yogurt; 177.44 half-and-half; 177.44 tomato puree; 0.92 cayenne pepper; 0.18 salt; 0.18 black pepper; 11.09 ml    peanut oil; 340.19 boneless skinless chicken thighs; 3.69 garam masala; 0.18 cayenne pepper; 11.09 cornstarch; 44.36 water","Heat 1 tablespoon oil in a large saucepan over medium high heat. Saute shallot and onion until soft and translucent. Stir in butter, lemon juice, ginger garlic paste, 1 teaspoon garam masala, chili powder, cumin and bay leaf. Cook, stirring, for 1 minute. Add tomato puree and cook for 2 minutes, stirring frequently. Stir in half-and-half and yogurt. Reduce heat to low and simmer for 10 minutes, stirring frequently. Season with salt, pepper and cayenne. Remove from heat and set aside. Heat 1 tablespoon oil in a large heavy skillt over medium heat. Cook chicken until lightly browned, about 10 minutes. Reduce heat and season with 1 teaspoon garam masala and cayenne. Stir in about 1/3 of the sauce and simmer until liquid has reduced and chicken is no longer pink, about 5 minutes. Pour the rest of the sauce into the chicken. Mix together cornstarch and water, then stir into the sauce. Cook for 5 to 10 minutes, or until thickened."
