RecipeName,TimeToCook,Ingredients,Instructions
Dal Chilla,1hr 30mins,"sunflower oil, chutney, split yellow lentils, water,  fresh gingerroot, green chili pepper, coriander leaves, salt, semolina, onion, salt, green chili pepper","Soak the lentils in 250ml (9fl oz) of the measured water for about ?1 hour, until they absorb it all. Transfer the lentils to a blender and add the ginger, chilli, and coriander and blend until smooth. Tip the paste into a bowl and stir in the salt, semolina and the remaining 350ml (12fl oz) measured water, mixing well. Combine all the topping ingredients in a bowl. Heat a frying pan and, once it is very hot, pour a serving-spoonful of the batter into the pan and spread it into a 13–15-cm (5–6-inch) circle. Top with 1 tablespoon of the topping mixture and drizzle 1 tablespoon of oil around the edges of the batter. Cook over medium heat for 2–3 minutes, until golden brown on the underside, then turn the chilla over and cook for a further 2 minutes, until golden brown on both sides. Repeat to make 15 more. Serve hot with the chutney ?of your choice. Recipe courtesy of CHAI, CHAAT & CHUTNEY by Chetna Makan. https://www.amazon.com/Chai-Chaat-Chutney-journey-through/dp/1784722871/."
Chicken Biryani,1hr 30mins,"chicken, canola oil, onions, garlic paste, ginger paste, tomatoes, yogurt, chili powder, whole cloves, green cardamom pods, black cardamom pods, black peppercorns, cumin powder, coriander powder, garam masala, curry powder, cinnamon stick, salt, bay leaves, dried plums, fresh green chilies, fresh cilantro, saffron, basmati rice, water","Soak rice for half an hour. Cook in rice cooker with 15 cups of water. Cook rice until almost done. Fry onions in oil until golden brown. Add ginger and garlic. Add chili powder, cloves, cardamom, pepper corn, cumin, curry, graham masala, coriander, cinnamon stick, bay leaves, dried plums, and salt. Add yogurt. Add tomatoes and cook until dry. Add meat. Add green chiles. Cook until meat is done and add water if needed. Add cilantro. Mix saffron with hot water. Layer rice and meat mixture and sprinkle with saffron mixture. Put in oven at 350°F for 20 minutes."
Batata Vada,45mins,"potatoes, ginger, garlic, mustard seeds, turmeric powder, fresh cilantro, asafoetida powder, salt, besan, chili powder, turmeric powder, ground cumin, baking soda, salt, water, oil","Boil the potatoes mash them. add the ginger garlic, tumeric powder and cilantro and salt. Heat 3 tsp on oil in a saucepan. add the mustard seeds and wait for them to crackle (burst) then add the asefetida. Pour the oil over the potatoes. and mix it in well till blended. Mix all the ingredients with the water. divide the potato mix into 16 balls. Heat the oil. Dip the potatoes into the batter. The batter should be thick enough to coat the potatoes nicely but not too thick. Place the coated potatoes balls in the hot oil. Fry till done (the coating will be a golden color with a reddish tinge). Enjoy."
Chicken Korma,30mins,"oil, cinnamon sticks, cardamom pods, cloves, onion, garlic cloves, chicken breast halves, salt, ground cinnamon, ground cardamom, ground cloves, crushed dried hot pepper, tomato sauce, water, buttermilk, ground cumin, fresh coriander","Heat oil over medium-high heat, and add cinnamon, cardamom and cloves. When the aroma is released, reduce heat, and add the onion and garlic, cook until onion is softened. Add chicken and cook for about 5 minutes, then add salt, ground cinnamon, ground cardamom, ground cloves and hot pepper. Mix well so the spices cover the chicken. Add tomato sauce and water, cover and cook for 10 minutes. Add buttermilk, ground cumin and coriander, cover and cook for 5 minutes. Serve with rice or naan bread."
Mango Lassi,2mins,"water, yogurt, ground cardamom, granulated sugar, salt, mango pulp, ice cube",Combine all ingredients in a blender. Process about 1 minute or until smooth.
Homemade Jalebis,45mins,"all-purpose flour, gram flour, plain yogurt, water, baking soda, ghee, sugar syrup","Put flour in a mixing bowl. Add gramflour. Mix well. Add yogurt and water. Mix well, using a spoon, ensuring that no lumps remain. Mix to obtain what is technically called,""ribbon consistency"". (Ribbon consistency simply requires you to mix for about 5-7 minutes, really well, so that when the mixture is dropped from the mixing spoon into the mixing bowl, it should fall like a ribbon. Don't let the term scare you, it's pretty easy, you just got to). Add a pinch of baking soda. At this point, this mixture (batter) can be refrigerated if you are planning on making the jalebis later. If you plan to make the jalebis instantly, put the mixture in a jalebi bottle (you get these bottles to make jalebis in the market). If you dont have a jalebi bottle, you can use an empty well-washed and thoroughly clean, tomato ketchup bottle. If you got an icing bag, use that. I used the icing bag with the""star"" nozzle attachment. You may experiment with the other nozzles, if you wish, but please dont, in any circumstances, try using the""writing"" nozzle attachment, because if you do so, the jalebis that you'll be making will be the thinnest on the face of the planet,lol. Heat oil on low-medium flame in a frying pan. Meanwhile, spoon the above prepared batter in the icing bag fitted with the star nozzle/jalebi bottle/ tomato ketchup bottle. Drop the batter by squeezing the bottle/icing bag, into the hot oil, in concentric circular motion to make the jalebis. Lightly brown on either side. Repeat until all the batter is used up. On low flame heat the pre-prepared sugar-water syrup (known in Hindi as""chashni""). Add few threads of saffron to the syrup- these look really pretty on the jalebis later when you dip the latter into them. Now, drain the excess oil from the jalebis. Drop into the sugar-water syrup. Dip well, toss well, to coat the jalebis in the syrup. Drain excess syrup from the jalebis. Serve immediately or serve hot if you plan to serve them later on, make sure to warm them a bit in the oven (2-3 minutes) and then serve. Get ready to put on your apron and go make more of these because they'll vanish before you know! Don't blame ME if you get addicted to these like my DAD."
Kulfi,12hrs,"fat-free evaporated milk, light cream, low fat  sweetened condensed milk, cinnamon","In a large bowl, stir together well the evaporated milk, condensed milk, cream, and optional other flavor. Pour into popsicle molds, Indian stainless steel kulfi molds, or even a small bowl. Freeze overnight. Remove from the molds by resting their bottoms very briefly in warm to hot water (if you do this for too long you'll have a gooey mess!)."
Thandai (Indian Almond Drink),15mins,"water, sugar, almonds, sunflower seeds, poppy seed, anise seed, ground cardamom, rose water, peppercorn,  rose petal","Soak sugar in 1/2 litre of the water used. Set aside. Soak remaining ingredients in 2 cups of remaining water. Set aside. Allow all soaked items to stand for at least 2 hours. Grind all soaked ingredients to a very fine paste. (not sugar) in a processor or blender. Place a double layer of cheesecloth or a coffee filter over/in a strainer and set over a large container/pitcher. Press through muslin with the back of a spoon, extracting as much liquid as possible. Add remaining water, a little at a time to extract more of the nut liquid. Pour back some of the extract and press, repress.  Do this a number of times to extract as much flavour out of the nut paste as possible. Mix well. Chill for atleast 2 hours before serving.  You may need to give the drink a stir before pouring. To serve, sprinkle some rose petals over each serving (optional). Note:  Do not discard the nut paste - it is excellent used in making korma-type curries."
Burfi (Indian Fudge),1hr 30mins,"butter, brown sugar, white sugar, milk, powdered milk, cashews, pistachios","Melt the butter over low heat. Stir in sugars. Add the milk and bring to a boil gradually over medium heat. Lower the flame and add the powdered milk slowly, stirring to work out all the lumps. If you're adding nuts, mix them in once the lumps are smoothed out. Cook on medium heat for approximately 4-5 minutes, until nice and thick. Butter a 9x13 inch cake pan and pour mixture into pan, spread evenly. Cover with plastic wrap and place in fridge to set - the girls stick it in the freezer so they don't have to wait so long :). Once set, cut into 1 1/2 inch squares. Keep refrigerated and covered with plastic wrap. One hour of prep time is actual cooling time. Makes approximately 60 small squares."
Murmura / Chiwda,35mins,"oil, cumin seed, fresh ginger, curry leaves, dried red chilies, hing, raisins, unsalted peanuts, sev, coconut, unsweetened rice puffs, salt, sugar, lime juice","Sift and pick through the puffed rice, discard discolored pieces. Dry roast the puffed rice until it is toasty but not colored. Spread over a paper towel to allow moisture to wick away. Let it cool. Heat the oil in a large wok. Add cumin seeds, ginger and curry leaves. Stir vigorously to season the oil well, reduce the heat. Add dried red chilies, asafetida powder and turmeric powder; stir vigorously to avoid burning. Add the raisins and peanuts, allow them to cook. As the peanuts begin to roast, add the salt, sugar and lime juice; turn off the heat. While the oil and spices are still hot, add the cooled toasted puffed rice and sev in small batches. Toss with two flat spatulas with each addition until all the rice is mixed inches Return the wok to a medium-low heat and toss this mixture quickly. Remove from heat. Serve hot or allow to cool and store it in an airtight container for up to four weeks."
Shankarpale,45mins,"flour, oil, water, sugar, oil","Put the oil in a thick bottom pan. Add water and sugar. Stir and bring to a boil. Remove from heat immediately. Let it stand until it is lukewarm. Fold in the flour adding a little at a time. Knead well. Heat oil in a deep frying pan. Divide the dough into lemon sized balls and roll out with a rolling pin. You should not be able to see the surface you are rolling it on through the dough. Using a pizza cutter or a sharp knife cut into strips at an angle. Turn the surface 90 degrees and cut diagonally to form diamonds. If you don't cut at an angle you will get squares, diamonds look better. Deep fry in the oil until golden brown. Store in a air tight container."
Tandoori Chicken,1hr 10mins,"plain yogurt, lemon juice, allspice, fresh coarse ground black pepper, ground cayenne pepper, ground cinnamon, ground cumin, ground ginger, salt, smoked paprika, garlic, thai chili paste with garlic, chicken, onions, lemon","In a small mixing bowl, stir together the yogurt and lemon juice.  Add the spices, minced garlic, and chili paste, and whisk until you have a smooth, thick marinade. Put 6 pieces of the chicken in each of two zip-lock bags, and add 1/2 the marinade to each bag.  Zip closed and knead the bags until the chicken is well-coated with marinade.  Open bags slightly, squeeze out most of the air, and zip closed again.  Refrigerate 12-24 hours.  If serving this for dinner, I usually make the marinade and start the chicken soaking the evening before. Turn the bags and knead the marinating chicken once or twice while it's in the refrigerator. When you are ready to cook, take the chicken out of the refrigerator, line a large roasting pan with foil, lay a rack over the pan so air can circulate under the roasting chicken, and pre-heat your oven to 425.  If you have a convection bake or convection roast cycle, use that. Place the chicken pieces on the rack so they are not touching.  Empty what is left of the marinade into a bowl or measuring cup and touch up any ""empty"" spots on the chicken pieces with the marinade. Once the oven is hot, put the pan with the chicken in the oven, and leave the door closed (no peeking!).  Turn the chicken pieces once after 30 minutes of cooking time, then roast for another 10 to 15 minutes, or until slightly charred on the second side, but no more than 15 minutes for legs and thighs.  If you are cooking breasts, poke one with a skewer to make sure the juices run clear. NOW TURN THE OVEN OFF, and let the chicken rest in the closed oven for 20-30 minutes more (not critical, but NO PEEKING!). Remove the chicken to a warm platter, garnish with the onion rings and a few squeezes of lemon, and enjoy! See if you don't agree this is as good as any ""authentic"" Tandoori chicken you've ever tried!"
Shortcut Crescent Samosa,25mins,"olive oil, onion, garlic cloves, potatoes, carrot, sweet peas, soy sauce, curry powder, cumin, dried cilantro, ground ginger, turmeric, salt, red pepper flakes, water, crescent rolls, honey, lemon juice, soy sauce, water, garlic cloves, red pepper flakes",Saute onion and garlic in oil 5 minutes until onion is soft. Add all other ingredients except crescent rolls. Stir gently over medium heat for several minutes until well incorporated. Set aside. Heat oven to 375°F. Open cans of crescent rolls and unroll the dough. Separate into 4 rectangles and pinch the triangular perforations to seal. Cut each rectangle in half crosswise to make squares (you'll have 8 squares per can of crescent rolls). You may have to coax the dough gently with your hands to make it square and to close up the perforations. Spoon a heaping spoonful of filling in the center of each square and fold over to make a triangle. Pinch the edges to seal. Bake on cookie sheets sprayed with Pam for 12-15 minutes until golden. Cool slightly on rack. Serve warm with Honey Dipping Sauce. Mix sauce well in small bowl.
Sookhi Bhaji,40mins,"cumin seed, brown mustard seeds, onion, serrano chilies, potatoes, ground cumin, ground coriander, turmeric, salt, cayenne pepper, fresh cilantro","Heat cumin seeds and mustard seed in hot dry skillet over high heat, swirling pan, until seeds start to pop. Reduce heat to medium; add onions, chilies, and add a small amount of water; cook until onion is tender, adding more water as necessary to prevent sticking. Add potatoes, ground cumin, coriander, turmeric, salt (to taste), and cayenne pepper, stirring to mix well. Add 2/3 cup water, cover, reduce heat and cook for 20-25 minutes, stirring occasionally, until spices are absorbed and potatoes are tender. Add a small amount of water at a time if all liquid evaporates. Fold in cilantro just before serving."
Masala Chai,15mins,"cloves, cardamom pods, cinnamon stick, water, ground ginger, fresh ground black pepper, milk, granulated sugar, black tea","In a mortar, crush the cloves, cardamom pods and cinnamon, or use a coffee grinder. Transfer the crushed spices to a small saucepan, add the water, ginger and pepper and bring to a boil. Remove the pan from the heat, cover and let steep for 5 minutes. Add the milk and sugar to the pan and bring to a boil. Remove from the heat and add the tea. Cover and let steep for 3 minutes. Stir the chai, then strain it into a warmed teapot or directly into teacups. Enjoy!"
Chicken Makhani,40mins,"peanut oil, shallot, white onion, chopped, butter, lemon juice, ginger-garlic paste, garam masala, chili powder, ground cumin, bay leaf, plain yogurt, tomato puree, cayenne pepper, salt, black pepper, peanut oil, boneless skinless chicken thighs, garam masala, cayenne pepper, cornstarch, water","Heat 1 tablespoon oil in a large saucepan over medium high heat. Saute shallot and onion until soft and translucent. Stir in butter, lemon juice, ginger garlic paste, 1 teaspoon garam masala, chili powder, cumin and bay leaf. Cook, stirring, for 1 minute. Add tomato puree and cook for 2 minutes, stirring frequently. Stir in half-and-half and yogurt. Reduce heat to low and simmer for 10 minutes, stirring frequently. Season with salt, pepper and cayenne. Remove from heat and set aside. Heat 1 tablespoon oil in a large heavy skillt over medium heat. Cook chicken until lightly browned, about 10 minutes. Reduce heat and season with 1 teaspoon garam masala and cayenne. Stir in about 1/3 of the sauce and simmer until liquid has reduced and chicken is no longer pink, about 5 minutes. Pour the rest of the sauce into the chicken. Mix together cornstarch and water, then stir into the sauce. Cook for 5 to 10 minutes, or until thickened."
Mini Strawberry Falooda,1hr 5mins,"tapioca, strawberry jam, rose water, vanilla ice cream, whipped cream, strawberry","The tapioca is best made the night before so that it has time to chill. To begin, measure out 1 part tapioca to 8 parts water and add to a large pot. Bring to a boil. Once at a boil, reduce to a simmer, and stir pot. Make sure to stir at least once every 10 minutes, for about 60 minutes. Don't be afraid to add extra water if the water levels are looking low.  It is much better to add more than to let the tapiocas run dry and stick to the pan. Once the tapiocas are cooked all the way through, strain the tapiocas and immediately run cold water over them. When the tapioca pearls are cooled down, pack in water and store until eating. The next day, or whenever ready to eat falood, take out the tapioca, add rosewater, and stir inches  I added about 1 tablespoon for about 6 cups of tapioca pearls. IF you do not like floral tastes, add less. To assemble the falooda: add a tablespoon or two of jam to each glass of falooda. Next, add the tapioca pearls, then add vanilla ice cream to the top. if using strawberries and whipped cream, you can add these to the top. You can also do layers of each of the components. Enjoy! Great on a hot day."
Tandoori-Style Chicken,8hrs 40mins,"fresh lime juice, plain yogurt, jalapeno chiles, salt, ground turmeric, ground coriander, ground cumin, ground ginger, garlic powder, cayenne pepper, ground cinnamon, ground cloves, vegetable oil, skinless chicken thighs","Stir together lime juice, yogurt, minced chiles, salt, turmeric, coriander, cumin, ginger, garlic, cayenne, cinnamon, cloves, and 1 tbsp of oil in a mixing bowl. Cut slits across the meat of chicken and rub spice mixture all over chicken. Marinate chicken in this mixture for 8 hours or overnight. Preheat the last tbsp of oil in the bottom of a roasting pan and layer chicken pieces in the bottom of pan. Bake 425F for 35-40 minutes or until chicken is done (you may want to check the chicken about 5-8 minutes before and it may even cook longer than the 40 min, depending on size of pieces)."
Roti,2hrs,"all-purpose flour, water, milk, salt, oil, butter, flour","Put flour and salt in a bowl. Add water a cup at a time, kneading. When kneading, make your hand into a fist and roll your knuckles into the dough, folding edges in continuously, working in all the flour. When all the flour is kneaded into a ball, poke lots of holes into the ball of dough. Pour a little oil into the dough and knead it inches. Add the rest of the oil (the dough will look very oily and that's the way it should be). Cover with a clean cloth and let sit for at least an hour. Roll the ball in a little bit of flour so it's not sticky. Divide the dough into about 15-20 balls depending on how big you want the chappatis to be. Flour the counter/board. Roll out each ball to about 6 inches in diameter. Brush with melted butter. Fold in three (like you fold a letter). Now it should almost look like a long tube. Take one end of that tube and fold it in to the centre and gently press it inches. Take the other end of the tube and fold it over the seam. Now you should have a little bundle of dough. (In other words, fold the dough into thirds one way, and then the other). Flour a plate and place the bundles on them. Roll each one out to about 6-8 inch diamete, flouring counter/board as needed. On a flat cast iron disc (available at Indian grocery stores) or on a big frying pan (cast iron is best), heat pan, and put chappati on it. When it starts looking a bit translucent, flip it over. Brush with melted butter, shuffling it around the pan quickly, then a quick flip over, a bit of melted butter (it should start puffing up into a pillow like shape). Once it has small golden brown dots on both sides, take it off an put into a serving dish (cover with a clean cloth as you keep preparing the rest). You will have to adjust the heat during the whole frying process. Clean off the pan with paper towels or a clean cloth in between frying each chappati. Don't turn the chappatis too much, just once or twice is enough."
Butter Chicken,30mins,"butter, onion, garlic, gingerroot, chili powder, ground turmeric, ground cinnamon, crushed tomatoes, tomato paste, brown sugar, salt, fresh ground black pepper, whole rotisserie-cooked chicken, skin removed and meat cut up, light cream, light sour cream, fresh cilantro, cooked basmati rice","Melt butter in a deep, 10-inch skillet over medium heat; add onions and garlic; cook slowly, stirring often, until onions are tender - about five minutes. Add gingerroot, chili powder, turmeric and cinnamon; cook one more minute. Add undrained tomatoes, tomato paste, brown sugar, salt and pepper; reduce heat to low; cover and simmer for 10 minutes, stirring occasionally. Add cut-up chicken, cream and sour cream; simmer, uncovered, for five more minutes. Remove from heat and stir in cilantro; serve over hot basmati rice, if desired."
