RecipeName,TimeToCook,Ingredients,Instructions
Baked Chicken Tenders,26mins,"chicken tenders, mayonnaise, Italian seasoned breadcrumbs, parmesan cheese","Preheat Oven to 425°F. Mix chicken tenders and mayonnaise in a bowl to lightly coat chicken with mayonnaise. Mix bread crumbs and cheese in a gallon-size zippie bag. Prepare baking sheet with cooking spray. Put 1-2 chicken tenders in the zippie bag with the bread crumbs and shake to coat. Place chicken tenders in a single layer on prepared baking sheet. Continue until all tenders are coated and on the baking sheet. Bake in preheated oven for 8 minutes.  Gently flip each one, so as not to remove the breading, and bake an additional 8 minutes. Serve with your favorite dipping sauce."
Pizza Soup,8mins,"condensed tomato soup, milk, mozzarella cheese, pepperoni, dried oregano","Mix the condensed soup and milk (use the empty soup can to measure your milk) and heat until warm; either in microwave or on the stove top. Pour soup into two bowls. Add 1/4 cup mozzarella cheese, 4-5 slices of pepperoni and 1/8 teaspoons oregano to each bowl. Stir and serve. Other favorite pizza toppings can be added too."
Hot Molten Blobs,16mins,"buttermilk biscuits,mayonnaise, yellow mustard, ham, low-fat cheddar cheese","Pre-heat oven to 400 degrees. Coat muffin tins with non-stick cooking spray. Place a biscuit in each of 10 sections. In a small bowl, combine mayo and mustard and stir until well blended. Using thumbs, press down center to make deep indentations in each biscuit. Spoon equal amounts of the mayo mixture in each, about 1 tsp each. Top with ham cubes, then with cheddar cubes. Place muffin tin on foil-lined rack in oven. Bake until biscuits are golden and puffed, and overflowing with cheese, or about 10-12 minutes. Remove from oven and let stand 3 minutes before removing from tins. Serve while hot."
Enchiladas,35mins,"ground beef, enchilada sauce, Mexican blend cheese, corn tortillas",Heat oven to 350. Cook beef until browned. Stir 1/2 cup of enchilada sauce and 1 cup of cheese into beef mixture. Spread 1/2 cup of the sauce in a 13 x 9 baking dish. Spoon about 4 tablespoons of the beef mixture into each tortilla. Roll up and place seam side down in baking dish. Top with remaining sauce and cheese. Bake for about 20 minutes or until the cheese melts.
Egg Salad on English Muffin,20mins,"eggs, onion, Dijon mustard, mayonnaise, salt, chives, English muffins, cherry tomatoes, cucumber, mix greens salad leaves","Finely chop boiled eggs. Mix in chopped onion, Dijon mustard, mayonnaise, chive, salt pepper to taste. If you like more runny texture you can add 1Tbsp. water. Spoon egg salad on lightly toasted English muffin. Top with cherry tomatoes, cucumber and salad leaves. Tip: if you have any left over cooked bacon, chop it finely and sprinkle on top."
Portobello Pizzas,20mins,"portabella mushrooms, pizza sauce, italian seasoning, mozzarella cheese, mini pepperoni, basil leaves, olive oil, kosher salt, black pepper","Preheat oven to 450 degrees. Line a baking sheet with parchment paper. Brush inside and outside of mushrooms with olive oil. Season with salt and pepper and place on prepared sheet tray with the tops down. Build the pizzas by laying tomato sauce, italian seasoning, cheese and pepperoni. Bake for 10-12 minutes until cheese has melted and the mushroom is tender. Top with basil and serve."
Quick Chicken & Rice,20mins,"rice, frozen peas, chicken breast tenders, halved crosswise, cooking oil, bottled stir-fry sauce, packaged oven-roasted sliced almonds","Stir peas into rice pouch. Heat in microwave according to package directions. Meanwhile, in a large skillet, cook and stir chicken in hot oil over medium-high heat for 2 to 3 minutes or until no longer pink. Stir rice mixture into skillet. Stir in stir-fry sauce; heat through. Sprinkle each serving with almonds."
Hummus Pizza,15mins,"pita breads, tomatoes, hummus, spinach, black olives",Heat pita breads in the oven at 350 degrees F. Spread hummus on warmed pita breads. Cut the tomato and add slices on top of the hummus. Place spinach on top of tomatos. Add olives to taste.
Chicken Breast With Honey-Balsamic Glaze,13mins,"dried thyme, salt, black pepper, olive oil, boneless skinless chicken breast halves, balsamic vinegar, honey",Combine first 3 ingredients; sprinkle over both sides of chicken. Heat oil in a large nonstick skillet over medium-high heat.  Add chicken; cook 7 to 8 minutes on each side or until chicken is done. Transfer chicken to a platter; keep warm.  Reduce heat to medium-low; add vinegar and honey to pan.  Simmer 1 minute or until glaze thickens; stir constantly.  Pour glaze over chicken.
Spaghetti,15mins,"spaghetti, lemons, olive oil, parmesan cheese, fresh basil,  salt and pepper","Grate lemon peels to yield 1 tablespoon of lemon zest. Juice the lemons to yield 1/2 cup of fresh lemon juice. Whisk together the oil, Parmesan cheese, lemon juice, salt and pepper in large bowl. Meanwhile, cook pasta according to the package instructions. Drain, reserving 1 cup of the cooking water. Add the spaghetti to the lemon sauce, and toss with the basil and lemon zest. Season the pasta with salt and pepper to taste."
Microwave Lemony Waldorf Fish Fillets,16mins,"apple, celery, butter, herb seasoned stuffing mix, mayonnaise, walnuts, lemon juice, cod","In a 1-quart microwave-safe bowl combine apple, celery, and butter or margarine. Micro-cook, covered, on 100% power (HIGH) for 2-3 minutes or until celery is crisp-tender. Stir in stuffing mix, mayonnaise or salad dressing, walnuts, and lemon juice; set aside. In a 12 x 7 1/2 x 2-inch baking dish, place block of fish. Micro-cook, covered for 5 minutes, giving dish a half-turn after 3 minutes. Drain off juices. Place stuffing in 4 mounds around fish.  Cook, uncovered, for 2-3 minutes or until fish flakes easily when tested with a fork and stuffing is heated through."
Egg Salad Sandwich,5mins,"hard-boiled eggs, scallions, Dijon mustard, lettuce, whole grain bread, salt, pepper","With the back of a fork, mash egg yolk with mustard to make a thick paste. Stir in chopped scallions and chopped egg white.  Mix in salt and pepper as desired. Divide mixture on top of 2 slices of bread. Top with lettuce leaves, and cover with remaining slices of bread.  Makes 2 sandwiches."
Quick & Delicious Goat Cheese Salad,2mins,"mixed greens, cleaned and dried, dried cranberries, walnuts, raspberry vinaigrette dressing, soft fresh goat cheese","In a salad bowl, place greens, cranberries, walnuts, and dressing, and mix gently. With a spoon, break up the goat cheese into uneven chunks on top of the salad. Enjoy as part of a meal with grilled fish and a blush wine Eat as a light dinner with a cup of warm tea. Makes for a beautiful presentation when entertaining guests."
Pizza Quesadilla,10mins,"flour tortillas, spaghetti sauce, pizza sauce, cheese, pepperoni","These are made just like any other quesadilla or grilled cheese sandwich. Spray the bottom of a non-stick skillet with cooking spray and preheat. When the pan is fairly hot place 1 Flour Tortilla in the pan. Fairly quickly (because you want to get everything on before the bottom starts to brown) spread on a few tablespoons of sauce. Then add a layer of Pepperoni (and anything else you like). Then top with shredded cheese. Top it off with the 2nd Flour Tortilla. Just like any other quesadilla or grilled cheese let it brown then flip it over.  If all of the cooking spray was absorbed you can spray on a little more, but you usually don't need to. After both sides are browned and the insides are hot and melted take the ""pizzas"" out to cool. Once cooled slice in 1/4 like a pizza and wrap snugly with plastic wrap or aluminum foil. Tips and Ideas. My son is not super picky so I made these in batches and freeze and then take them out the morning of school and pop into his lunchbox.  It is usually thawed and yummy by lunch time.  If you freeze them you need to let the cool completely first the wrap them separately in plastic wrap and then aluminum foil to prevent ice crystals from forming."
Microwave Garlic Prawns,35mins,"prawns, peanut oil, garlic cloves, spring onions, dry sherry, Tabasco sauce, salt, pepper","Peel and devein prawns, leaving tails intact. Put prawns into a microwave proof dish or divide prawns into 4 microproof ramekins. Combine all other ingredients and pour over prawns or divide between the 4 ramekins. Microwave on high for 5 minutes, stirring occasionally. Serve with crusty bread."
Ground Beef & Potatoes,25mins,"lean ground beef, potatoes, vegetable oil, salt","Heat about 2 tablespoons of oil in a large skillet. Add diced potatoes (about 1/4 inch cubes) and cook for about 10 mins or until slightly browned and mostly cooked through stirring occasionally. Add lean ground beef to potatoes and brown, chopping it up into very small pieces and stirring and flipping often (about 10 minutes). (If you use lean ground beef, there is no need to drain - be sure to cook meat with potatoes as it does make a difference in the overall flavor). Once meat is fully cooked, turn off burner and add about a 1/2 tsp of salt and stir in with spatula. Add more salt to taste if desired. Serve with salted white rice and veggies."
Spinach Salad,5mins,"baby spinach leaves, hard-boiled eggs, bacon, red onion, poppy seed dressing",Place freshly washed spinach on individual plates. Sprinkle with chopped hard boiled eggs and crumbled bacon. Spread sliced onion on top. Drizzle with poppyseed dressing. Serves 4 small or 2 meal size.
Pizza Scrolls,30mins,"red capsicum, ham, cheese, pizza sauce, puff pastry","Preheat oven to 200c. Combine the chopped capsicum, ham and cheese in bowl. Spread the sauce onto each sheet of pastry, leaving a 2cm border along one side, and sprinkle the capsicum mixture over the top. Roll up the pastry to enclose the filling (like a swiss roll), leaving the plain edge until last. Brush the edge lightly with water and fold to seal. Cut each roll into 1cm rounds (use serrated bread knife) and place on lined oven trays. Bake for 20 min or until golden."
Cheesy Turkey Burger,10mins,"ground turkey, garlic powder, onion powder, celery seed, oregano, Worcestershire sauce, breadcrumbs, cheddar cheese, salt, pepper","Mix all ingredients together in large bowl. Add more bread crumbs if necessary. Should form a firm ball. Add salt and pepper to taste. Shape into six patties, not too thin. Pan-fry, broil, or grill inside or out until lightly browned and cooked through, about 5 minutes per side."
Creamy Italian Pasta Salad,25mins,"tri-color spiral pasta, Italian salad dressing,  caesar salad dressing, parmesan cheese, tomatoes, cucumber, green bell peppers","Cook pasta as directed, rinse with cold water and drain well. In a large bowl, combine rest of ingredients and toss to coat. Add pasta and toss to coat. Chill at least 2 hours before serving. *** If pasta ""absorbs"" the dressing, you may need to add a little more dressing after chill time before serving."
Tomato & Egg Muffin,10mins,"eggs, English muffins, tomatoes, balsamic vinegar","Poach the eggs in a pan of gently simmering water, until cooked as you like. Meanwhile, toast muffins. Divide tomato between two muffin halves; sprinkle with vinegar, top with eggs, then remaining muffin halves."
Easy Pita Bread Pizza,10mins,"pita bread, spaghetti, mozzarella cheese, dried herbs, olive oil","Brush on a little olive oil on the pita. Spread sauce on top of the pita. Sprinkle on the shredded cheese. Sprinkle on pinches of desired herbs and spices, and add any toppings you'd like. Place on baking sheet, bake for 5-7 minutes at 400°, or until cheese is melted (times may vary). Slice with pizza cutter and enjoy!"
Grilled Chicken Flatbread Pizzas,7mins,"flat bread, grilled chicken, sun-dried tomato, fresh basil, mozzarella cheese, salt, ground black pepper, red pepper flakes","Heat the grill. Mix all the ingredients together (except the bread) in a bowl. Use your hands. It's easier. Turn the heat to low on your grill. Lay the flat breads on (high rack if you have one). Mound the mixture on the flat bread, spreading to the edges. Close the grill and give it a minute or two, When it is melted, it's done. (If you leave it on too long, the bread will burn). Put it on a bread board and cut it with a pizza cutter."
Tuna Salad Sandwich,6mins,"tuna, mayonnaise, sweet pickle relish, lettuce, American cheese, sliced bread","Empty tuna into bowl. Add mayonnaise and pickle relish. Mix well and taste. Add more mayo or pickle relish if necessary. Toast bread. Add lettuce, tuna chef and cheese."
Easy Roast Beef Wrap,2mins,"flour tortillas, deli roast beef, provolone cheese","On cold tortilla, place the roast beef, then cheese slice (divided in half to fit length wise). Microwave for 30-40 seconds on high."
Cheese-Tomato Melt,4mins,"lowfat mozzarella cheese, tomatoes, whole wheat bread, italian seasoning , coarse sea salt","Divide tomato slices and cheese evenly on top of bread slices.  Sprinkle seasonings, if desired. Broil until cheese melts. Serve immediately."
Healthy Sandwich,5mins,"corn tortilla, avocados, garbanzo beans, jalapeno pepper, finely chopped, carrots, fresh Italian parsley, cheddar cheese","1 Spread the avocado over the tortilla.2 Combine all the other ingredients in a small bowl, then spoon it into the center of the tortilla.3 Fold the tortilla from the bottom first, then the sides, and enjoy immediately."
Buffalo Chicken Wrap,5mins,"mayonnaise, Tabasco sauce, tortilla, lettuce leaf, chicken","Mix mayo and hot sauce. Fill tortilla with sauce, lettuce and chicken. Roll to eat."
Grilled Peanut Butter & Jelly Sandwich,15mins,"whole grain bread, butter, peanut butter, jelly, jam","Spread 1 teaspoon margarine on each slice of bread. On the unbuttered side spread peanut butter on one piece and jelly on the other. Put the peanut butter and jelly sides together. Heat a skillet on medium high heat until warm. Put the sandwich in the pan, butter side down. Cook until golden grown then turn and brown the other side. Enjoy."
Hummus Vegetable Sandwich,15mins,"whole wheat bread, hummus, olive spread, cucumber, carrot",Spread 1 slice whole wheat bread with half the mixture of hummus and tapenade (optional). Do the same on the second piece of bread. Top hummus and tapenade with the 1/4 cucumber thinly sliced and the 1 carrot coarsely grated. This recipe makes 1 sandwich.
Italian Saucy Sausage Sub,20mins,"Italian sausage, spaghetti sauce, onion, bell pepper, hoagie roll","Fry, boil or grill your sausage. Sauté onion and bell pepper with a dash of pepper flakes. ASSEMBLY----------. Place sausage on bun. Place sauté mixture on top. Place warm sauce on top. (warm for twenty seconds in microwave). Enjoy!"
Cheater's Chicken Noodle Soup,18mins,"chicken tenders, egg noodles, water, chicken bouillon cubes, carrots","Place water and one bouillon cube in a 3 quart saucepan. (I never measure, I just fill it up about halfway.) Bring to a boil. Add egg noodles and boil for 3 minutes. (Adjust your time if you aren't using fine egg noodles. Cook for the lowest time in package directions.) Do not drain noodles! Turn heat to OFF. Add remaining bouillon cubes and stir until dissolved. Add carrots and chicken. Stir to heat thoroughly. Add a sprinkling of dried parsley, if desired."
Ground Chicken Ranch Burger,18mins,"lean ground chicken, ranch dressing mix,  fresh breadcrumb, mushroom","Mix all ingredients together. Mixture will be wet. Be sure to spray or oil grill and do not turn chicken patties until well browned. Form into patties and grill or pan fry. I usually cook about 3-4 minutes on each side, a little longer may be needed if frozen. Juice will run clear when done."
Snack Stackers,5mins,"meat, cheese, Ritz crackers","Cut 4 (1-1/2-inch) circles out of your choice of lunch meat (use small glass if you don't have a cutter that is that small and cut around it), then cut 4 (1-1/4-inch) stars out of your choice of cheese. Top each cracker with 1 lunch meat circle and 1 cheese star or place in container and ship off in lunch box."
Yummy Grilled Tuna & Cheese Sandwiches,15mins,"bread, butter, cheese, solid white tuna",Spread both sides of the bread thinly with butter. Place the cheese on the bread and then the tuna. Grill for 2 minutes on each side or until the bread is golden brown. Serve or refrigerate and eat later (they are still nice cold).
Mushroom Quesadilla,30mins,"mushrooms, garlic, salt, pepper, tortillas, cheddar cheese","Wrap the tortillas in foil and warm them in a 350F oven while you are cooking the mushrooms. Saute the mushrooms and garlic until most of the water from the mushrooms has evaporated. Season with salt & pepper. Divide the mushrooms & cheese between the four tortillas, fold in half. Serve with salsa, quacamole & sour cream (Optional)."
Boston Fenway Franks,13mins,"beef , yellow mustard, onion, green sweet pickle, hot dog bun","Grill or Steam the frank. Grill the bun, cut side down. Push the cooked frank down into the grilled bun and cover with the condiments in the order given, to taste. Enjoy!"
Apple-Cheddar Panini,20mins,"whole grain bread, honey mustard, apples, mild cheddar cheese, cooking spray","Preheat panini press on medium heat(or use 2 heavy skillets-one to put on top of the panini while cooking to press it). Lightly spread honey mustard evenly over each slice of bread. Layer apple slices and cheese over 4 slices of bread, using about ½ apple and 2 ounces of cheese for each sandwich. Top each with remaining bread slices. Lightly coat panini press with cooking spray(or coat skillet. Grill each sandwich for 3 to 5 minutes or until cheese has melted and bread has toasted. Remove from pan and allow to cool slightly before serving. Enjoy!"
California Rollwich,10mins,"flour tortillas, mayonnaise, turkey, cheese, romaine lettuce, avocado, fresh tomato, lemon juice, carrots, green pepper","Scoop the flesh from the avocado and mash, mixing with a dash of lemon or lime juice. Mix in diced tomatoes and optional vegetables. Set aside. Spread the tortilla or pita with mayonnaise, leaving at least 1/2 inch around the outside. Spread avocado spread over mayonnaise. Top spread with shredded lettuce. Carefully place turkey or ham slices on top of topping (leaving room on the edge for rolling). Add cheese strips down the middle. Carefully roll the tortilla into a wrap. Cut into two pieces."
Chunky Chicken Nachos,14mins,"chicken, tortilla chips, shredded taco cheese, salsa, sliced ripe olives","Arrange chips on a large microwavable platter. Top with 1 cup of cheese, chicken, salsa, olives and remaining cheese. Microwave on High 3 to 4 Minutes or until cheese is melted, turning platter halfway through cooking time."
